system,topic,score
NTU_NMLAB_BM25_ALLQQ,4,0
NTU_NMLAB_BM25_ALLQQ,5,0.25
NTU_NMLAB_BM25_ALLQQ,6,0
NTU_NMLAB_BM25_ALLQQ,7,0
NTU_NMLAB_BM25_ALLQQ,8,0
NTU_NMLAB_BM25_ALLQQ,9,0.9479
NTU_NMLAB_BM25_ALLQQ,10,0.9916
NTU_NMLAB_BM25_ALLQQ,11,0.0704
NTU_NMLAB_BM25_ALLQQ,12,0.9682
NTU_NMLAB_BM25_ALLQQ,13,0.9385
NTU_NMLAB_BM25_ALLQQ,14,0.9584
NTU_NMLAB_BM25_ALLQQ,15,2e-04
NTU_NMLAB_BM25_ALLQQ,16,0.1257
NTU_NMLAB_BM25_ALLQQ,17,0
NTU_NMLAB_BM25_ALLQQ,18,2e-04
NTU_NMLAB_BM25_ALLQQ,19,0.0051
NTU_NMLAB_BM25_ALLQQ,20,0.9336
NTU_NMLAB_BM25_ALLQQ,21,0.0156
NTU_NMLAB_BM25_ALLQQ,22,0.8652
NTU_NMLAB_BM25_ALLQQ,23,0.1663
NTU_NMLAB_BM25_ALLQQ,24,0.6558
NTU_NMLAB_BM25_ALLQQ,25,0
NTU_NMLAB_BM25_ALLQQ,26,0.1953
NTU_NMLAB_BM25_ALLQQ,27,0.6252
NTU_NMLAB_BM25_ALLQQ,28,0.499
NTU_NMLAB_BM25_ALLQQ,29,0.8614
NTU_NMLAB_BM25_ALLQQ,30,0.998
NTU_NMLAB_BM25_Hum2,1,0.9102
NTU_NMLAB_BM25_Hum2,2,0.7503
NTU_NMLAB_BM25_Hum2,3,0
NTU_NMLAB_BM25_Hum2,4,0.5039
NTU_NMLAB_BM25_Hum2,5,0.3154
NTU_NMLAB_BM25_Hum2,6,0.7109
NTU_NMLAB_BM25_Hum2,7,0.5001
NTU_NMLAB_BM25_Hum2,8,0.25
NTU_NMLAB_BM25_Hum2,9,0.9479
NTU_NMLAB_BM25_Hum2,10,0.9999
NTU_NMLAB_BM25_Hum2,11,0.1509
NTU_NMLAB_BM25_Hum2,12,0.6333
NTU_NMLAB_BM25_Hum2,13,0.9381
NTU_NMLAB_BM25_Hum2,14,0.9584
NTU_NMLAB_BM25_Hum2,15,0.0631
NTU_NMLAB_BM25_Hum2,16,0.1738
NTU_NMLAB_BM25_Hum2,17,0.6085
NTU_NMLAB_BM25_Hum2,18,0.8207
NTU_NMLAB_BM25_Hum2,19,0.0625
NTU_NMLAB_BM25_Hum2,20,0.9481
NTU_NMLAB_BM25_Hum2,21,0.7422
NTU_NMLAB_BM25_Hum2,22,1e-04
NTU_NMLAB_BM25_Hum2,23,0.5396
NTU_NMLAB_BM25_Hum2,24,0.0938
NTU_NMLAB_BM25_Hum2,25,0.4505
NTU_NMLAB_BM25_Hum2,26,0.8206
NTU_NMLAB_BM25_Hum2,27,0.8789
NTU_NMLAB_BM25_Hum2,28,0.9008
NTU_NMLAB_BM25_Hum2,29,0.7396
NTU_NMLAB_BM25_Hum2,30,0.4998
NTU_NMLAB_BM25_Human,1,0.7041
NTU_NMLAB_BM25_Human,2,0.751
NTU_NMLAB_BM25_Human,3,0
NTU_NMLAB_BM25_Human,4,0.125
NTU_NMLAB_BM25_Human,5,0.125
NTU_NMLAB_BM25_Human,6,0.4103
NTU_NMLAB_BM25_Human,7,0.5002
NTU_NMLAB_BM25_Human,8,0.25
NTU_NMLAB_BM25_Human,9,0.92
NTU_NMLAB_BM25_Human,10,0.9999
NTU_NMLAB_BM25_Human,11,0.1525
NTU_NMLAB_BM25_Human,12,0.6338
NTU_NMLAB_BM25_Human,13,0.9068
NTU_NMLAB_BM25_Human,14,0.96
NTU_NMLAB_BM25_Human,15,0.8754
NTU_NMLAB_BM25_Human,16,2e-04
NTU_NMLAB_BM25_Human,17,0.608
NTU_NMLAB_BM25_Human,18,0.7502
NTU_NMLAB_BM25_Human,19,0.125
NTU_NMLAB_BM25_Human,20,0.9499
NTU_NMLAB_BM25_Human,21,0.961
NTU_NMLAB_BM25_Human,22,0.8125
NTU_NMLAB_BM25_Human,23,0.5356
NTU_NMLAB_BM25_Human,24,0.1563
NTU_NMLAB_BM25_Human,25,0.4161
NTU_NMLAB_BM25_Human,26,0.957
NTU_NMLAB_BM25_Human,27,0.8751
NTU_NMLAB_BM25_Human,28,0.8938
NTU_NMLAB_BM25_Human,29,0.7438
NTU_NMLAB_BM25_Human,30,0.4999
OHSU_RUN1,1,0.8026
OHSU_RUN1,2,0.0093
OHSU_RUN1,3,3e-04
OHSU_RUN1,4,0
OHSU_RUN1,5,0
OHSU_RUN1,6,0.9102
OHSU_RUN1,7,0.004
OHSU_RUN1,8,0.0203
OHSU_RUN1,9,0.896
OHSU_RUN1,10,0.9993
OHSU_RUN1,11,0.1289
OHSU_RUN1,12,0.718
OHSU_RUN1,13,0.0431
OHSU_RUN1,14,0.8102
OHSU_RUN1,15,0.75
OHSU_RUN1,16,0.6578
OHSU_RUN1,17,0.9996
OHSU_RUN1,18,0.9921
OHSU_RUN1,19,0.8293
OHSU_RUN1,20,0.0313
OHSU_RUN1,21,0.6871
OHSU_RUN1,22,0.7038
OHSU_RUN1,23,0.9988
OHSU_RUN1,24,0.608
OHSU_RUN1,25,0
OHSU_RUN1,26,0.599
OHSU_RUN1,27,0.5345
OHSU_RUN1,28,0.9951
OHSU_RUN1,29,0.9788
OHSU_RUN1,30,1
OHSU_RUN2,1,0.9668
OHSU_RUN2,2,0.9945
OHSU_RUN2,3,2e-04
OHSU_RUN2,4,0.5
OHSU_RUN2,5,0.9006
OHSU_RUN2,6,0.9647
OHSU_RUN2,7,0.3727
OHSU_RUN2,8,0.5078
OHSU_RUN2,9,0.7852
OHSU_RUN2,10,0.9976
OHSU_RUN2,11,0.1039
OHSU_RUN2,12,0.9062
OHSU_RUN2,13,0.6641
OHSU_RUN2,14,0.809
OHSU_RUN2,15,0.8127
OHSU_RUN2,16,0.4928
OHSU_RUN2,17,0.9974
OHSU_RUN2,18,0.9902
